[Kraj pozicija=0-1, automat=S7-S9
, Kraj pozicija=0-1, automat=S3-S4
, Kraj pozicija=0-1, automat=S3-S0
, Kraj pozicija=0-2, automat=S3-S1
, Kraj pozicija=0-2, automat=S5-S0
, Kraj pozicija=0-3, automat=S7-S9
, Kraj pozicija=0-3, automat=S3-S7
, Kraj pozicija=0-3, automat=S1-S0
, Kraj pozicija=0-4, automat=S7-S6
, Kraj pozicija=0-4, automat=S3-S2
, Kraj pozicija=0-4, automat=S7-S0
, Kraj pozicija=0-5, automat=S7-S4
, Kraj pozicija=0-5, automat=S2-S0
, Kraj pozicija=0-7, automat=S7-S6
, Kraj pozicija=0-7, automat=S3-S0
, Kraj pozicija=0-7, automat=S4-S0
, Kraj pozicija=1-2, automat=S9-S7
, Kraj pozicija=1-2, automat=S4-S1
, Kraj pozicija=1-2, automat=S5-S3
, Kraj pozicija=1-3, automat=S4-S7
, Kraj pozicija=1-3, automat=S1-S3
, Kraj pozicija=1-4, automat=S9-S6
, Kraj pozicija=1-4, automat=S4-S2
, Kraj pozicija=1-4, automat=S7-S3
, Kraj pozicija=1-5, automat=S9-S4
, Kraj pozicija=1-5, automat=S4-S3
, Kraj pozicija=1-5, automat=S2-S3
, Kraj pozicija=1-7, automat=S9-S6
, Kraj pozicija=1-7, automat=S4-S0
, Kraj pozicija=1-7, automat=S4-S3
, Kraj pozicija=2-3, automat=S7-S9
, Kraj pozicija=2-3, automat=S1-S7
, Kraj pozicija=2-3, automat=S5-S1
, Kraj pozicija=2-4, automat=S7-S6
, Kraj pozicija=2-4, automat=S1-S2
, Kraj pozicija=2-4, automat=S5-S7
, Kraj pozicija=2-5, automat=S7-S4
, Kraj pozicija=2-5, automat=S1-S3
, Kraj pozicija=2-5, automat=S5-S2
, Kraj pozicija=2-7, automat=S7-S6
, Kraj pozicija=2-7, automat=S1-S0
, Kraj pozicija=2-7, automat=S5-S4
, Kraj pozicija=3-4, automat=S6-S9
, Kraj pozicija=3-4, automat=S2-S7
, Kraj pozicija=3-4, automat=S7-S1
, Kraj pozicija=3-5, automat=S4-S9
, Kraj pozicija=3-5, automat=S3-S7
, Kraj pozicija=3-5, automat=S2-S1
, Kraj pozicija=3-7, automat=S6-S9
, Kraj pozicija=3-7, automat=S0-S7
, Kraj pozicija=3-7, automat=S4-S1
, Kraj pozicija=4-5, automat=S6-S4
, Kraj pozicija=4-5, automat=S2-S3
, Kraj pozicija=4-5, automat=S7-S2
, Kraj pozicija=4-7, automat=S2-S0
, Kraj pozicija=4-7, automat=S7-S4
, Kraj pozicija=5-7, automat=S6-S4
, Kraj pozicija=5-7, automat=S0-S3
, Kraj pozicija=5-7, automat=S4-S2
, Kraj pozicija=6-8, automat=S7-S4
, Kraj pozicija=6-8, automat=S2-S1
]
